Label,Text,Predicted_Label
ham,Do you know when the result.,ham
spam,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam
ham,"""Beautiful Truth against Gravity.. Read carefully: """"Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."""" GOOD NIGHT""",ham
ham,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",ham
ham,You do got a shitload of diamonds though,ham
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
ham,Well I'm going to be an aunty!,ham
ham,Mine here like all fr china then so noisy.,ham
ham,Later i guess. I needa do mcat study too.,ham
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),ham
spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,spam
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham
ham,If he started searching he will get job in few days.he have great potential and talent.,ham
ham,"Carlos took a while (again), we leave in a minute",ham
ham,Well done and ! luv ya all,ham
ham,Then why you came to hostel.,ham
ham,K still are you loving me.,ham
ham,But i juz remembered i gotta bathe my dog today..,ham
ham,After the drug she will be able to eat.,ham
ham,Alright took the morphine. Back in yo.,ham
ham,You see the requirements please,ham
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!,ham
spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,spam
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
ham,So can collect ur laptop?,ham
ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ham
ham,I will once i get home,ham
ham,Waaaat?? Lololo ok next time then!,ham
ham,"The table's occupied, I'm waiting by the tree",ham
ham,I surely dont forgot to come:)i will always be in touch in with you:-),ham
ham,Hi kindly give us back our documents which we submitted for loan from STAPATI,ham
ham,I dont have i shall buy one dear,ham
ham,Oh god i am happy to see your message after 3 days,ham
ham,What year. And how many miles.,ham
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.,ham
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,ham
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,spam
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,ham
ham,Is she replying. Has boye changed his phone number,ham
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,ham
ham,"Nothing really, just making sure everybody's up to speed",ham
ham,I'm not coming home 4 dinner.,ham
ham,"Thank you. And by the way, I just lost.",ham
ham,Yes.he have good crickiting mind,ham
ham,Thx. All will be well in a few months,ham
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam
ham,"""""""CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO""""""",ham
ham,I wont. So wat's wit the guys,ham
ham,Yavnt tried yet and never played original either,ham
ham,"Hiya, had a good day? Have you spoken to since the weekend?",ham
ham,See? I thought it all through,ham
ham,I'm at work. Please call,ham
ham,get ready to moan and scream :),ham
ham,Oh k :)why you got job then whats up?,ham
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",ham
ham,And popping &lt;#&gt; ibuprofens was no help.,ham
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",ham
ham,Ok.,ham
ham,PS U no ur a grown up now right?,ham
ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",ham
ham,I know a few people I can hit up and fuck to the yes,ham
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,ham
ham,Oh god. I'm gonna Google nearby cliffs now.,ham
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,spam
ham,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,ham
ham,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too.",ham
ham,Thankyou so much for the call. I appreciate your care.,ham
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,ham
ham,I called but no one pick up e phone. I ask both of them already they said ok.,ham
ham,Hi my email address has changed now it is,ham
ham,"""V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy """"VALENTINES DAY"""" in advance""",ham
ham,"Not much, just some textin'. How bout you?",ham
ham,Bring it if you got it,ham
ham,I'm in a movie. Call me 4 wat?,ham
ham,Not sure I have the stomach for it ...,ham
ham,Haha... can... But i'm having dinner with my cousin...,ham
ham,"""A boy was late 2 home. His father: """"POWER OF FRNDSHIP""""""",ham
ham,"(And my man carlos is definitely coming by mu tonight, no excuses)",ham
ham,soon you will have the real thing princess! Do i make you wet? :),ham
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,ham
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",ham
spam,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",spam
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,ham
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam
ham,"Hmm well, night night",ham
ham,Just wanted to say holy shit you guys weren't kidding about this bud,ham
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",ham
ham,"This is one of the days you have a billion classes, right?",ham
ham,"Goodmorning, today i am late for 2hrs. Because of back pain.",ham
ham,Ok then i'll let him noe later n ask him call u tmr...,ham
ham,Prabha..i'm soryda..realy..frm heart i'm sory,ham
ham,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,ham
ham,* Will have two more cartons off u and is very pleased with shelves,ham
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...,ham
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,spam
ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...,ham
ham,I notice you like looking in the shit mirror youre turning into a right freak,ham
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,ham
spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120",spam
ham,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",ham
ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,ham
ham,If you have belive me. Come to my home.,ham
ham,Oh k.k..where did you take test?,ham
ham,Those were my exact intentions,ham
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,ham
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",ham
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",ham
ham,Nothing just getting msgs by dis name wit different no's..,ham
ham,Good Morning plz call me sir,ham
ham,What's your room number again? Wanna make sure I'm knocking on the right door,ham
ham,"""""""Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx""""""",ham
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,ham
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",ham
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,ham
ham,Every day i use to sleep after  &lt;#&gt;  so only.,ham
ham,K I'll call you when I'm close,ham
ham,U buy newspapers already?,ham
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,ham
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,ham
ham,No management puzzeles.,ham
ham,How did you find out in a way that didn't include all of these details,ham
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",ham
spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,ham
ham,will you like to be spoiled? :),ham
spam,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",spam
ham,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,ham
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,ham
ham,Den wat will e schedule b lk on sun?,ham
ham,Lol enjoy role playing much?,ham
ham,Ok. Me watching tv too.,ham
ham,"""I just lov this line: """"Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"""" gud ni8 and sweet dreams""",ham
ham,"Just checked out, heading out to drop off my stuff now",ham
ham,Here got lots of hair dresser fr china.,ham
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,ham
ham,Ill call you evening ill some ideas.,ham
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,spam
ham,Did you show him and wot did he say or could u not c him 4 dust?,ham
ham,It should take about  &lt;#&gt;  min,ham
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham
ham,I cant pick the phone right now. Pls send a message,ham
spam,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,spam
ham,Finish liao... U?,ham
spam,88066 FROM 88066 LOST 3POUND HELP,ham
ham,Haha i think i did too,ham
ham,U know we watchin at lido?,ham
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,ham
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?",ham
ham,Cold. Dont be sad dear,ham
ham,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip,ham
ham,Is that on the telly? No its Brdget Jones!,ham
ham,Love you aathi..love u lot..,ham
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,ham
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,ham
ham,"Sorry, I'll call later in meeting",ham
ham,R ü comin back for dinner?,ham
ham,"I hav almost reached. Call, i m unable to connect u.",ham
ham,Whom you waited for yesterday,ham
ham,I reach home safe n sound liao...,ham
ham,"Velly good, yes please!",ham
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",ham
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,ham
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,ham
ham,Dont you have message offer,ham
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,spam
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",ham
ham,Remind me how to get there and I shall do so,ham
ham,:-( that's not v romantic!,ham
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,ham
spam,You have 1 new message. Please call 08718738034.,ham
ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX,ham
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,spam
ham,Draw va?i dont think so:),ham
ham,Dont pick up d call when something important is There to tell. Hrishi,ham
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
ham,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,ham
ham,"&lt;#&gt; , that's all? Guess that's easy enough",ham
ham,We can make a baby in yo tho,ham
ham,Should I tell my friend not to come round til like  &lt;#&gt; ish?,ham
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham
ham,Still in the area of the restaurant. Ill try to come back soon,ham
ham,"Aight that'll work, thanks",ham
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam
spam,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow,spam
ham,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",ham
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
spam,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",spam
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",spam
ham,So what do you guys do.,ham
ham,Also that chat was awesome but don't make it regular unless you can see her in person,ham
ham,That's significant but dont worry.,ham
ham,That's cause your old. I live to be high.,ham
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",ham
ham,On the way to office da..,ham
ham,In which place do you want da.,ham
ham,This pain couldn't have come at a worse time.,ham
ham,Ok...,ham
ham,Should I be stalking u?,ham
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,ham
ham,Ok lor.,ham
ham,Apps class varaya elaya.,ham
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,ham
spam,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",spam
ham,That day you asked about anand number. Why:-),ham
ham,Am surfing online store. For offers do you want to buy any thing.,ham
ham,Long beach lor. Expected... U having dinner now?,ham
ham,At home by the way,ham
ham,We are both fine. Thanks,ham
ham,What happen to her tell the truth,ham
ham,Do you like Italian food?,ham
ham,Which is weird because I know I had it at one point,ham
ham,"""""""Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!""""""",ham
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,ham
ham,"Alright, see you in a bit",ham
ham,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.,ham
ham,I will take care of financial problem.i will help:),ham
ham,Tell dear what happen to you. Why you talking to me like an alian,ham
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,spam
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham
ham,Okie...,ham
ham,"Hi this is yijue, can i meet u at 11 tmr?",ham
